Task,Category,Priority,Deadline,Assigned_To,User_Behavior_Score,Status,Workload
Write guide for the engineer_magnetic_solutions before Wednesday,Documentation,Low,2025-05-21,Preet,0.84,Completed,High
Investigate the seize_cross-platform_partnerships before Thursday,Research,Medium,2025-05-22,Naman,0.5,Completed,Medium
Implement the unleash_sticky_schemas before Tuesday,Feature,High,2025-06-03,Bibhab,0.59,Completed,Low
Develop the transform_cross-media_markets before Thursday,Feature,Medium,2025-05-22,Smit,0.67,Pending,Medium
Create the drive_dot-com_methodologies before Sunday,Feature,Medium,2025-05-25,Smit,0.67,Pending,Medium
Analyze the evolve_distributed_functionalities before Monday,Research,High,2025-05-26,Aarav,0.27,Completed,Low
Develop the aggregate_e-business_interfaces before Thursday,Feature,High,2025-05-29,Preet,0.84,In Progress,High
Summarize the leverage_bleeding-edge_action-items before Sunday,Documentation,Medium,2025-05-25,Smit,0.67,Completed,Medium
Update the re-contextualize_B2B_e-commerce before Wednesday,Maintenance,Low,2025-06-04,Smit,0.67,Completed,Medium
Launch the re-contextualize_dynamic_architectures before Saturday,Deployment,Medium,2025-05-24,Bibhab,0.59,Pending,Low
Review code for the generate_scalable_e-services before Wednesday,Code Review,High,2025-05-21,Naman,0.5,Pending,Medium
Investigate the grow_killer_networks before Tuesday,Research,High,2025-05-27,Naman,0.5,In Progress,Medium
Monitor the synergize_synergistic_partnerships before Saturday,Maintenance,High,2025-05-24,Smit,0.67,In Progress,Medium
Analyze pull request the target_intuitive_eyeballs before Monday,Code Review,Medium,2025-06-02,Bibhab,0.59,Completed,Low
Enhance performance of the productize_24/365_models before Thursday,Optimization,Medium,2025-05-22,Preet,0.84,In Progress,High
Research the iterate_world-class_web_services before Wednesday,Research,Medium,2025-05-28,Bibhab,0.59,In Progress,Low
Create readme for the transform_bleeding-edge_models before Friday,Documentation,High,2025-05-30,Aarav,0.27,Pending,Low
Write guide for the e-enable_sticky_e-commerce before Monday,Documentation,High,2025-06-02,Naman,0.5,Completed,Medium
Test the matrix_web-enabled_metrics before Saturday,Testing,High,2025-05-24,Smit,0.67,In Progress,Medium
Optimize the monetize_viral_markets before Tuesday,Optimization,High,2025-06-03,Naman,0.5,Completed,Medium
Repair the target_plug-and-play_applications before Friday,Bug,Medium,2025-05-23,Smit,0.67,In Progress,Medium
Prototype the harness_extensible_schemas before Monday,Design,High,2025-05-26,Preet,0.84,In Progress,High
Qa the scale_strategic_architectures before Wednesday,Testing,High,2025-05-28,Smit,0.67,Completed,Medium
